name,run_utc,ok,model,source,temperature,top_p,frequency_penalty,presence_penalty,repetition_penalty,seed,max_tokens,reasoning_effort,score,mutants,killed,survived,not_covered,timeout,focus_score,focus_mutants,focus_killed,focus_survived,duration_s,error
generated_test_3,2026-08-26T22:50:29+00:00,1,,,,,,,,,,,35.17,1706,600,1106,0,30,,,,,5.60,
gen_gpt_oss_120b_t0p2_tp0p95_fp0_s1_260827_002233,2026-08-26T23:08:16+00:00,0,,crypto/evp/bio_enc.c,0.20,0.95,0.00,,,1,,,,,,,,,,,,,0.90,no binary at ./test/gen_gpt_oss_120b_t0p2_tp0p95_fp0_s1_260827_002233
gen_gpt_oss_120b_t0p2_tp0p95_fp0_s2_260827_002311,2026-08-26T23:08:17+00:00,1,,crypto/evp/bio_enc.c,0.20,0.95,0.00,,,2,,,35.51,1701,604,1097,0,30,57.81,64,37,27,67.10,
gen_gpt_oss_120b_t0p2_tp0p95_fp0_s3_260827_002336,2026-08-26T23:09:24+00:00,1,,crypto/evp/bio_enc.c,0.20,0.95,0.00,,,3,,,34.57,1701,588,1113,0,30,50.00,64,32,32,16.80,
gen_gpt_oss_120b_t0p2_tp0p95_fp0p3_s1_260827_002402,2026-08-26T23:09:40+00:00,0,,crypto/evp/bio_enc.c,0.20,0.95,0.30,,,1,,,,,,,,,,,,,11.50,mull failed (exit 1); see /Users/ammarlakho/Documents/Thesis/openssl/thesis-work/mutation/gen_gpt_oss_120b_t0p2_tp0p95_fp0p3_s1_260827_002402/mull.log
gen_gpt_oss_120b_t0p2_tp0p95_fp0p3_s2_260827_002434,2026-08-26T23:09:52+00:00,1,,crypto/evp/bio_enc.c,0.20,0.95,0.30,,,2,,,16.22,1708,277,1431,0,35,7.81,64,5,59,17.00,
gen_gpt_oss_120b_t0p2_tp0p95_fp0p3_s3_260827_002454,2026-08-26T23:10:09+00:00,1,,crypto/evp/bio_enc.c,0.20,0.95,0.30,,,3,,,35.51,1701,604,1097,0,30,57.81,64,37,27,17.00,
gen_gpt_oss_120b_t0p8_tp0p95_fp0_s1_260827_002516,2026-08-26T23:10:26+00:00,1,,crypto/evp/bio_enc.c,0.80,0.95,0.00,,,1,,,35.29,1706,602,1104,0,30,52.17,69,36,33,16.60,
gen_gpt_oss_120b_t0p8_tp0p95_fp0_s2_260827_002553,2026-08-26T23:10:43+00:00,1,,crypto/evp/bio_enc.c,0.80,0.95,0.00,,,2,,,35.35,1706,603,1103,0,30,53.62,69,37,32,17.20,
gen_gpt_oss_120b_t0p8_tp0p95_fp0_s3_260827_002632,2026-08-26T23:11:00+00:00,1,,crypto/evp/bio_enc.c,0.80,0.95,0.00,,,3,,,35.45,1701,603,1098,0,30,51.56,64,33,31,16.70,
gen_gpt_oss_120b_t0p8_tp0p95_fp0p3_s1_260827_002651,2026-08-26T23:11:16+00:00,0,,crypto/evp/bio_enc.c,0.80,0.95,0.30,,,1,,,,,,,,,,,,,0.40,no binary at ./test/gen_gpt_oss_120b_t0p8_tp0p95_fp0p3_s1_260827_002651
gen_gpt_oss_120b_t0p8_tp0p95_fp0p3_s2_260827_002715,2026-08-26T23:11:17+00:00,0,,crypto/evp/bio_enc.c,0.80,0.95,0.30,,,2,,,,,,,,,,,,,11.30,mull failed (exit 1); see /Users/ammarlakho/Documents/Thesis/openssl/thesis-work/mutation/gen_gpt_oss_120b_t0p8_tp0p95_fp0p3_s2_260827_002715/mull.log
gen_gpt_oss_120b_t0p8_tp0p95_fp0p3_s3_260827_002739,2026-08-26T23:11:28+00:00,0,,crypto/evp/bio_enc.c,0.80,0.95,0.30,,,3,,,,,,,,,,,,,0.40,no binary at ./test/gen_gpt_oss_120b_t0p8_tp0p95_fp0p3_s3_260827_002739
gen_gpt_oss_120b_t1_tp0p95_fp0_s1_260827_002816,2026-08-26T23:11:29+00:00,1,,crypto/evp/bio_enc.c,1.00,0.95,0.00,,,1,,,35.63,1701,606,1095,0,36,51.56,64,33,31,16.30,
gen_gpt_oss_120b_t1_tp0p95_fp0_s2_260827_002846,2026-08-26T23:11:45+00:00,1,,crypto/evp/bio_enc.c,1.00,0.95,0.00,,,2,,,35.50,1707,606,1101,0,30,55.71,70,39,31,17.50,
gen_gpt_oss_120b_t1_tp0p95_fp0_s3_260827_002911,2026-08-26T23:12:02+00:00,1,,crypto/evp/bio_enc.c,1.00,0.95,0.00,,,3,,,34.76,1700,591,1109,0,30,56.25,64,36,28,16.40,
gen_gpt_oss_120b_t1_tp0p95_fp0p3_s1_260827_002953,2026-08-26T23:12:19+00:00,1,,crypto/evp/bio_enc.c,1.00,0.95,0.30,,,1,,,34.86,1701,593,1108,0,30,50.00,64,32,32,16.50,
gen_gpt_oss_120b_t1_tp0p95_fp0p3_s2_260827_003017,2026-08-26T23:12:35+00:00,0,,crypto/evp/bio_enc.c,1.00,0.95,0.30,,,2,,,,,,,,,,,,,0.40,no binary at ./test/gen_gpt_oss_120b_t1_tp0p95_fp0p3_s2_260827_003017
gen_gpt_oss_120b_t1_tp0p95_fp0p3_s3_260827_003042,2026-08-26T23:12:36+00:00,1,,crypto/evp/bio_enc.c,1.00,0.95,0.30,,,3,,,35.40,1706,604,1102,0,30,52.17,69,36,33,16.80,
gen_gpt_oss_120b_t0p2_tp0p95_fp0_s1_260827_002233,2026-08-27T09:10:30+00:00,0,gpt-oss:120b,crypto/evp/bio_enc.c,0.20,0.95,0.00,,,1,,,,,,,,,,,,,0.80,no binary at ./test/gen_gpt_oss_120b_t0p2_tp0p95_fp0_s1_260827_002233
